serial_number,data_units_written_bytes,physical_size,power_on_hours,dwpd
CVF8527500094P0DGN-1,121897155584000,1600319143936,22348,0.0818011765404
CVF8527500094P0DGN-2,121899697664000,1600319143936,22348,0.0818028824467
CVF85275000L4P0DGN-1,61725180416000,1600319143936,22346,0.0414254480851
CVF85275000L4P0DGN-2,61720625152000,1600319143936,22346,0.0414223909235
CVF85275000W4P0DGN-1,68036340736000,1600319143936,22334,0.0456855730566
CVF85275000W4P0DGN-2,68030389248000,1600319143936,22334,0.045681576705
CVF8527600014P0DGN-1,63041256448000,1600319143936,22395,0.04221613157
CVF8527600014P0DGN-2,63040848384000,1600319143936,22394,0.0422177434478
CVF85276000E4P0DGN-1,108264650240000,1600319143936,20953,0.0774899008799
CVF85276000E4P0DGN-2,108268177920000,1600319143936,22339,0.0726844889111
CVF85276000F4P0DGN-1,78572472832000,1600319143936,22279,0.0528907066087
CVF85276000F4P0DGN-2,78572805120000,1600319143936,22278,0.0528933044197
CVF85276000G4P0DGN-1,130363326976000,1600319143936,22343,0.0875021232013
CVF85276000G4P0DGN-2,130366203392000,1600319143936,22343,0.0875040539016
CVF85276000L4P0DGN-1,67144596480000,1600319143936,22340,0.0450746684131
CVF85276000L4P0DGN-2,67152310784000,1600319143936,22340,0.045079847083
CVF85276000X4P0DGN-1,121486324224000,1600319143936,22346,0.0815327777623
CVF85276000X4P0DGN-2,121487319040000,1600319143936,22345,0.0815370942555
CVF8527600184P0DGN-1,63043021824000,1600319143936,22395,0.0422173137695
CVF8527600184P0DGN-2,63038381568000,1600319143936,22395,0.0422142063813
CVF85276001C4P0DGN-1,65090931200000,1600319143936,22362,0.0436530389249
CVF85276001C4P0DGN-2,65093712384000,1600319143936,22362,0.0436549041176
CVF85276001D4P0DGN-1,66605343232000,1600319143936,22319,0.044754733937
CVF85276001D4P0DGN-2,66608074752000,1600319143936,22318,0.0447585747544
CVF85276001E4P0DGN-1,69771432960000,1600319143936,22330,0.0468590587411
CVF85276001E4P0DGN-2,69766285824000,1600319143936,22330,0.046855601883
CVF85276001H4P0DGN-1,69411500032000,1600319143936,22336,0.0466048023131
CVF85276001H4P0DGN-2,69413328896000,1600319143936,22336,0.046606030263
CVF85276001Y4P0DGN-1,76566096896000,1600319143936,22355,0.0513649033918
