bin_size,num_files,num_dirs,num_symlinks,num_blks,num_chrs,num_fifos,num_socks
0,21412774,0,0,0,0,55144,816
1,944123,0,3713,0,0,0,0
2,582760,0,10086,0,0,0,0
4,879676,0,59321,0,0,0,0
8,4207266,0,493953,0,0,0,0
16,1946575,0,1561082,0,0,0,0
32,4741176,0,5933716,0,0,0,0
64,4857193,0,4624034,0,0,0,0
128,11121340,0,44057530,0,0,0,0
256,25469857,0,5795777,0,0,0,0
512,28084861,0,598006,0,0,0,0
1024,65427256,0,2,0,0,0,0
2048,46338591,0,0,0,0,0,0
4096,76249148,105467686,0,0,0,0,0
8192,96262264,0,0,0,0,0,0
16384,82159305,1716704,0,0,0,0,0
32768,102591734,652174,0,0,0,0,0
65536,100668361,392984,0,0,0,0,0
131072,89326390,152952,0,0,0,0,0
262144,110744291,210680,0,0,0,0,0
524288,94581075,61709,0,0,0,0,0
1048576,41207831,25146,0,0,0,0,0
2097152,41327620,8958,0,0,0,0,0
4194304,27311242,5196,0,0,0,0,0
8388608,18097779,5438,0,0,0,0,0
16777216,12652781,1038,0,0,0,0,0
33554432,31964646,545,0,0,0,0,0
67108864,12050916,337,0,0,0,0,0
134217728,13127673,165,0,0,0,0,0
268435456,4858157,31,0,0,0,0,0
536870912,2953417,20,0,0,0,0,0
1073741824,1893997,5,0,0,0,0,0
2147483648,1955506,0,0,0,0,0,0
4294967296,612024,0,0,0,0,0,0
8589934592,312673,0,0,0,0,0,0
17179869184,120666,0,0,0,0,0,0
34359738368,32534,0,0,0,0,0,0
68719476736,17662,0,0,0,0,0,0
137438953472,6599,0,0,0,0,0,0
274877906944,5494,0,0,0,0,0,0
549755813888,1742,0,0,0,0,0,0
1099511627776,705,0,0,0,0,0,0
2199023255552,1093,0,0,0,0,0,0
4398046511104,568,0,0,0,0,0,0
8796093022208,18,0,0,0,0,0,0
17592186044416,24,0,0,0,0,0,0
35184372088832,0,0,0,0,0,0,0
70368744177664,0,0,0,0,0,0,0
140737488355328,0,0,0,0,0,0,0
281474976710656,0,0,0,0,0,0,0
562949953421312,2,0,0,0,0,0,0
1125899906842624,0,0,0,0,0,0,0
2251799813685248,0,0,0,0,0,0,0
4503599627370496,0,0,0,0,0,0,0
9007199254740992,0,0,0,0,0,0,0
18014398509481984,0,0,0,0,0,0,0
36028797018963968,0,0,0,0,0,0,0
72057594037927936,0,0,0,0,0,0,0
144115188075855872,0,0,0,0,0,0,0
288230376151711744,0,0,0,0,0,0,0
576460752303423488,0,0,0,0,0,0,0

