size,dir,fifo,file,sock,symlink
0,0,67557,30821871,885,0
1,0,0,1004348,0,2811
2,0,0,861921,0,11672
4,0,0,756459,0,76412
8,0,0,6656453,0,1287869
16,0,0,7923349,0,3124758
32,0,0,7162771,0,8558811
64,0,0,10456651,0,7851447
128,0,0,17822614,0,64896171
256,0,0,35627107,0,6496929
512,0,0,42335249,0,608520
1024,0,0,51358394,0,2
2048,0,0,66821990,0,0
4096,120751068,0,112138026,0,0
8192,0,0,99986529,0,0
16384,1582874,0,93458414,0,0
32768,747261,0,122071411,0,0
65536,360713,0,87752079,0,0
131072,169629,0,113547334,0,0
262144,190157,0,85361031,0,0
524288,54618,0,71588080,0,0
1048576,24859,0,72193743,0,0
2097152,7507,0,37466299,0,0
4194304,4538,0,37276973,0,0
8388608,5705,0,24490852,0,0
16777216,1303,0,17040351,0,0
33554432,587,0,18967821,0,0
67108864,354,0,8446250,0,0
134217728,148,0,5175879,0,0
268435456,42,0,2999189,0,0
536870912,21,0,2764084,0,0
1073741824,7,0,2145219,0,0
2147483648,0,0,1071425,0,0
4294967296,0,0,375228,0,0
8589934592,0,0,225171,0,0
17179869184,0,0,150576,0,0
34359738368,0,0,45644,0,0
68719476736,0,0,18093,0,0
137438953472,0,0,10599,0,0
274877906944,0,0,5390,0,0
549755813888,0,0,2358,0,0
1099511627776,0,0,918,0,0
2199023255552,0,0,1199,0,0
4398046511104,0,0,214,0,0
8796093022208,0,0,11,0,0
17592186044416,0,0,7,0,0
