date,read_bytes,write_bytes
2016-01-13,169014612985555.0,218918689308028.0
2016-01-14,234074578323463.0,303943780963447.0
2016-01-15,166699155188163.0,338924113219614.0
2016-01-16,112965351155497.0,224696489348800.0
2016-01-17,316837835435844.0,587053230620468.0
2016-01-18,141482129471154.0,1.10822289045346e+15
2016-01-19,118612230703909.0,489608711756810.0
2016-01-20,122002259688040.0,110623980212440.0
2016-01-21,130596011027688.0,267396923315731.0
2016-01-22,310894239374155.0,479402655705550.0
2016-01-23,137233681462423.0,315783183459321.0
2016-01-24,333940893315501.0,281651371208372.0
2016-01-25,437188088177718.0,315393143793925.0
2016-01-26,1.56694871897157e+15,316880567457891.0
2016-01-27,469274014546515.0,264725172858805.0
2016-01-28,318268231937045.0,322056966030164.0
2016-01-29,365808138437636.0,350312832748337.0
2016-01-30,223772009160216.0,365616706912012.0
2016-01-31,509150453802070.0,333255074470579.0
2016-02-01,272262813638673.0,232920374569229.0
2016-02-02,467857330797954.0,374992181014636.0
2016-02-03,164313089497682.0,129154528228975.0
2016-02-04,261764659129320.0,163254190953357.0
2016-02-05,116432951491341.0,237906085959729.0
2016-02-06,106025972170015.0,264285958519226.0
2016-02-07,58435088634748.6,106496674035221.0
2016-02-08,161172051297157.0,144258873418532.0
2016-02-09,122161030961172.0,203055180049368.0
2016-02-10,173444634159546.0,294103383455418.0
2016-02-11,131032655417989.0,516746917597228.0
2016-02-12,205084112288671.0,236126130207253.0
2016-02-13,151526077256687.0,139909432151376.0
2016-02-14,50277917309193.5,158098267538436.0
2016-02-15,173234216530660.0,142140543768460.0
2016-02-16,217372910218307.0,288927617024457.0
2016-02-17,168935154856060.0,147285463918047.0
2016-02-18,278092571822556.0,181669514584089.0
2016-02-19,405494567106414.0,241478890140598.0
2016-02-20,246938212218814.0,229409183086402.0
2016-02-21,134924970843395.0,122140135171812.0
2016-02-22,230512772752090.0,175611232759735.0
2016-02-23,158443451227272.0,223742934699478.0
2016-02-24,109973989495857.0,347201043418600.0
2016-02-25,86671396886826.3,397150975831852.0
2016-02-26,105845077497074.0,209712425482283.0
2016-02-27,48924867395208.8,41340172850400.7
2016-02-28,49229762440536.3,297899120224662.0
2016-02-29,158448372515659.0,195938353051012.0
2016-03-01,134341857883061.0,226821837819052.0
2016-03-02,134940488779201.0,255988726483268.0
2016-03-03,155173826359870.0,179896706823920.0
2016-03-04,142538670993352.0,187435107610054.0
2016-03-05,158354856254286.0,117487489254477.0
2016-03-06,840780927664644.0,221954235430069.0
2016-03-07,251858008130533.0,259223995404210.0
2016-03-08,238870402927347.0,357772892842113.0
2016-03-09,341774356871507.0,254650712971833.0
2016-03-10,196429376403158.0,310655348724488.0
2016-03-11,164115673953401.0,316774658894455.0
2016-03-12,160300132195171.0,273880367256844.0
