serial_number,node_name,available_spare,average_nand_erase_cycles,crc_error_count,device_status,end_to_end_error_detection_count,endurance_analyzer,erase_fail_count,error_info_log_entries,highest_lifetime_temperature,lowest_lifetime_temperature,max_nand_erase_cycles,media_errors,min_nand_erase_cycles,percentage_used,power_cycles,power_on_hours,program_fail_count,specified_pcb_max_operating_temp,specified_pcb_min_operating_temp,temperature,thermal_throttle_count,thermal_throttle_status,unsafe_shutdowns,timestamp,controller_busy_time,data_units_read,data_units_written,host_read_commands,host_write_commands,aggregation_threshold,aggregation_time,arbitration_burst,bootloader,coalescing_disable,device_path,directives_supported,end_to_end_data_prot_capabilities,error_string,firmware,firmware_update_available,high_priority_weight_arbitration,io_completion_queues_requested,io_submission_queues_requested,index,intel,intel_gen3_sata,intelnvme,interrupt_vector,lba_format,latency_tracking_enabled,low_priority_weight_arbitration,maximum_lba,medium_priority_weight_arbitration,metadata_setting,model_number,nvme_controller_id,nvme_major_version,nvme_minor_version,nvme_power_state,nvme_tertiary_version,namespace_id,native_max_lba,num_error_log_page_entries,num_lba_formats,oem,pci_link_gen_speed,pci_link_width,physical_size,power_governor_mode,product,product_family,product_protocol,protection_information,protection_information_location,reset_crc_error,smart_enabled,smart_health_critical_warnings_configuration,smbus_address,sector_size,serial_number,tcg_supported,temp_threshold,time_limited_error_recovery,trim_supported,volatile_write_cache_enabled,write_atomicity_disable_normal,media_is_in_a_readonly_mode,temperature_celsius,available_spare_threshold_percentage,temperature_has_exceeded_a_critical_threshold,critical_warnings,available_spare_space_has_fallen_below_the_threshold,number_of_error_info_log_entries,volatile_memory_backup_device_has_failed,device_reliability_has_degraded,available_spare_normalized_percentage_of_the_remaining_spare_capacity_available,smart_program_fail_count_id,smart_program_fail_count_action,smart_program_fail_count_description,smart_program_fail_count_normalized,smart_program_fail_count_raw,smart_erase_fail_count_id,smart_erase_fail_count_action,smart_erase_fail_count_description,smart_erase_fail_count_normalized,smart_erase_fail_count_raw,smart_wear_leveling_count_id,smart_wear_leveling_count_action,smart_wear_leveling_count_average_erase_cycles,smart_wear_leveling_count_description,smart_wear_leveling_count_maximum_erase_cycles,smart_wear_leveling_count_minimum_erase_cycles,smart_wear_leveling_count_normalized,smart_wear_leveling_count_raw,smart_endto_end_error_detection_count_id,smart_endto_end_error_detection_count_action,smart_endto_end_error_detection_count_description,smart_endto_end_error_detection_count_normalized,smart_endto_end_error_detection_count_raw,smart_crc_error_count_id,smart_crc_error_count_action,smart_crc_error_count_description,smart_crc_error_count_normalized,smart_crc_error_count_raw,smart_timed_workload_media_wear_id,smart_timed_workload_media_wear_action,smart_timed_workload_media_wear_description,smart_timed_workload_media_wear_normalized,smart_timed_workload_media_wear_raw,smart_timed_workload_host_read/_write_ratio_id,smart_timed_workload_host_read/_write_ratio_action,smart_timed_workload_host_read/_write_ratio_description,smart_timed_workload_host_read/_write_ratio_normalized,smart_timed_workload_host_read/_write_ratio_raw,smart_timed_workload_timer_id,smart_timed_workload_timer_action,smart_timed_workload_timer_description,smart_timed_workload_timer_normalized,smart_timed_workload_timer_raw,smart_thermal_throttle_status_id,smart_thermal_throttle_status_action,smart_thermal_throttle_status_description,smart_thermal_throttle_status_normalized,smart_thermal_throttle_status_raw,smart_thermal_throttle_status_throttle_status,smart_thermal_throttle_status_throttling_event_count,smart_retry_buffer_overflow_count_id,smart_retry_buffer_overflow_count_action,smart_retry_buffer_overflow_count_description,smart_retry_buffer_overflow_count_normalized,smart_retry_buffer_overflow_count_raw,smart_pli_lock_loss_count_id,smart_pli_lock_loss_count_action,smart_pli_lock_loss_count_description,smart_pli_lock_loss_count_normalized,smart_pli_lock_loss_count_raw,smart_nand_bytes_written_id,smart_nand_bytes_written_action,smart_nand_bytes_written_description,smart_nand_bytes_written_normalized,smart_nand_bytes_written_raw,smart_host_bytes_written_id,smart_host_bytes_written_action,smart_host_bytes_written_description,smart_host_bytes_written_normalized,smart_host_bytes_written_raw,smart_unknown_id,smart_unknown_action,smart_unknown_description,smart_unknown_normalized,smart_unknown_raw,temperature_unit,data_units_read_bytes,data_units_written_bytes,smart_nand_bytes_written_bytes,smart_host_bytes_written_bytes,write_amplification_factor,endurance_analyzer_unit
CVF8527500094P0DGN-1,nid08849,100,133,0,Healthy,0,,0,0,51,20,134,0,132,0,59,29806,0,85,0,30 Celsius,0,0,5,1554134402,9,212226686,309667839,898974151,1284009057,0,0,0,2333802803,1,/dev/nvme0n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,0,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,106,512,CVF8527500094P0DGN-1,False,85,0,True,False,0,False,30,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,133,Wear Leveling Count,134,132,100,571239432324,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,9048312,245,Pass,Host Bytes Written,100,4725156,246.0,Pass,Unknown,100.0,3.0,Celsius,108660063232000,158549933568000,303610969718784,158549925691392,1.9149234437974112,
CVF8527500094P0DGN-2,nid08849,100,133,0,Healthy,0,771.42,0,0,55,18,134,0,132,0,58,29806,0,85,0,29 Celsius,0,0,44,1554134402,184,212226627,309679187,896668710,1283602854,0,0,0,2333802803,1,/dev/nvme1n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,1,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,107,512,CVF8527500094P0DGN-2,False,85,0,True,False,0,False,29,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,133,Wear Leveling Count,134,132,100,571239432324,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,450,227,Pass,Timed Workload - Host Read/Write Ratio,100,40,228,Pass,Timed Workload Timer,100,1782974,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,9047371,245,Pass,Host Bytes Written,100,4725329,246.0,Pass,Unknown,100.0,3.0,Celsius,108660033024000,158555743744000,303579394998272,158555730608128,1.9146541965649375,years
CVF85275000L4P0DGN-1,nid06669,100,132,0,Healthy,0,,0,0,47,19,133,0,131,0,62,30347,0,85,0,29 Celsius,0,0,0,1554134402,0,137523700,202251931,618710742,878034860,0,0,0,2333802803,1,/dev/nvme0n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,0,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,106,512,CVF85275000L4P0DGN-1,False,85,0,True,False,0,False,29,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,132,Wear Leveling Count,133,131,100,566944399491,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,9004578,245,Pass,Host Bytes Written,100,3086119,246.0,Pass,Unknown,100.0,3.0,Celsius,70412134400000,103552988672000,302143500189696,103552970129408,2.917767590945132,
CVF85275000L4P0DGN-2,nid06669,100,132,0,Healthy,0,,0,0,53,20,134,0,131,0,56,30347,0,85,0,29 Celsius,0,0,0,1554134402,7,137516328,202233374,613567139,876976805,0,0,0,2333802803,1,/dev/nvme1n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,1,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,107,512,CVF85275000L4P0DGN-2,False,85,0,True,False,0,False,29,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,132,Wear Leveling Count,134,131,100,566944465027,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,9003412,245,Pass,Host Bytes Written,100,3085836,246.0,Pass,Unknown,100.0,3.0,Celsius,70408359936000,103543487488000,302104375721984,103543474225152,2.9176573220352604,
CVF85275000W4P0DGN-1,nid03089,100,126,0,Healthy,0,,0,0,47,19,127,0,125,0,55,30388,0,85,0,31 Celsius,0,0,0,1554134402,7,142904952,213012273,638616872,917822830,0,0,0,2333802803,1,/dev/nvme0n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,0,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,106,512,CVF85275000W4P0DGN-1,False,85,0,True,False,0,False,31,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,126,Wear Leveling Count,127,125,100,541174202493,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,8603716,245,Pass,Host Bytes Written,100,3250309,246.0,Pass,Unknown,100.0,3.0,Celsius,73167335424000,109062283776000,288692803469312,109062272319488,2.6470455578223486,
CVF85275000W4P0DGN-2,nid03089,100,126,0,Healthy,0,,0,0,49,19,127,0,125,0,57,30388,0,85,0,29 Celsius,0,0,0,1554134402,1,142893951,212985480,633242657,916640065,0,0,0,2333802803,1,/dev/nvme1n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,1,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,107,512,CVF85275000W4P0DGN-2,False,85,0,True,False,0,False,29,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,126,Wear Leveling Count,127,125,100,541174202493,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,8602771,245,Pass,Host Bytes Written,100,3249900,246.0,Pass,Unknown,100.0,3.0,Celsius,73161702912000,109048565760000,288661094531072,109048548556800,2.647087910397243,
CVF8527600014P0DGN-1,nid02322,100,128,0,Healthy,0,,0,0,41,18,129,0,127,0,55,30450,0,85,0,27 Celsius,0,0,1,1554134402,32,150457251,202952131,664523616,880632430,0,0,0,2333802803,1,/dev/nvme2n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,2,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,106,512,CVF8527600014P0DGN-1,False,85,0,True,False,0,False,27,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,128,Wear Leveling Count,129,127,100,549764268159,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,8718010,245,Pass,Host Bytes Written,100,3096803,246.0,Pass,Unknown,100.0,3.0,Celsius,77034112512000,103911491072000,292527873720320,103911465680896,2.8151645422714973,
CVF8527600014P0DGN-2,nid02322,100,128,0,Healthy,0,,0,0,41,16,129,0,127,0,56,30450,0,85,0,25 Celsius,0,0,0,1554134402,0,150469316,202950765,670442523,881022866,0,0,0,2333802803,1,/dev/nvme3n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,3,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,107,512,CVF8527600014P0DGN-2,False,85,0,True,False,0,False,25,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,128,Wear Leveling Count,129,127,100,549764268159,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,8718205,245,Pass,Host Bytes Written,100,3096782,246.0,Pass,Unknown,100.0,3.0,Celsius,77040289792000,103910791680000,292534416834560,103910761037824,2.815246601149193,
CVF85276000E4P0DGN-1,nid09618,100,134,0,Healthy,0,,0,0,43,19,136,0,134,0,55,28993,0,85,0,27 Celsius,0,0,0,1554134402,4,215474008,297705191,908253246,1236925633,0,0,0,2333802803,1,/dev/nvme2n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,2,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,106,512,CVF85276000E4P0DGN-1,False,85,0,True,False,0,False,27,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,134,Wear Leveling Count,136,134,100,575534530694,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,9193584,245,Pass,Host Bytes Written,100,4542620,246.0,Pass,Unknown,100.0,3.0,Celsius,110322692096000,152425057792000,308485489164288,152425033891840,2.0238505532049786,
CVF85276000E4P0DGN-2,nid09618,100,135,0,Healthy,0,,0,0,44,19,136,0,134,0,63,30379,0,85,0,26 Celsius,0,0,0,1554134402,4,215465630,297707742,911936256,1237156076,0,0,0,2333802803,1,/dev/nvme3n1,False,17,,8DV101H0,Please contact your Intel representative about firmware update for this drive.,0,30,30,3,True,False,True,0,0,False,0,3125623327,0,0,INTEL SSDPECME040T4Y,0,1,0,0,0,1,3907029167,63,6,Cray,3,4,1600319143936,0 40W for 8 Lane Slot power,Fultondale X8,Intel SSD DC P3608 Series,NVME,0,0,NVMe command reported a problem.,True,0,107,512,CVF85276000E4P0DGN-2,False,85,0,True,False,0,False,26,10,False,0,False,0,False,False,100,171,Pass,Program Fail Count,100,0,172,Pass,Erase Fail Count,100,0,173,Pass,135,Wear Leveling Count,136,134,100,579829497990,184,Pass,End-to-End Error Detection Count,100,0,199,Pass,CRC Error Count,100,0,226,Pass,Timed Workload - Media Wear,100,65535,227,Pass,Timed Workload - Host Read/Write Ratio,100,65535,228,Pass,Timed Workload Timer,100,65535,234,Pass,Thermal Throttle Status,100,0,0 %,0,240,Pass,Retry Buffer Overflow Count,100,0,243,Pass,PLI Lock Loss Count,100,0,244,Pass,NAND Bytes Written,100,9212417,245,Pass,Host Bytes Written,100,4542659,246.0,Pass,Unknown,100.0,3.0,Celsius,110318402560000,152426363904000,309117419782144,152426342514688,2.0279789876369767,
